"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"HAM","HEDEF PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","6,0978","22,3262","48,9692","108,5297","116,7181","-","-"
"RBA","ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU","Katılım Şemsiye Fonu","6,0589","18,1822","45,8634","108,4189","108,5688","434,5407","1.072,1127"
"HBF","HSBC PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","7,2075","19,6510","46,1206","106,4080","106,6463","437,0682","1.171,0106"
"KZL","KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","6,5816","19,4431","47,1843","106,1001","106,0780","479,7062","1.321,1269"
"RJG","RE-PIE PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","6,8905","19,4786","47,7030","104,1220","104,7536","-","-"
"PAF","PARDUS PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","7,4325","23,2190","51,0656","103,1761","103,8211","-","-"
"TCA","ZİRAAT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","8,1826","19,6257","44,1599","101,1709","103,3357","442,3015","1.272,1569"
"RPG","ROTA PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","6,0091","18,9323","44,9386","101,8926","102,7855","412,6181","-"
"NAU","NEO PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","6,3208","18,6739","45,6751","102,9033","102,7810","-","-"
"MKG","AKTİF PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","5,9668","17,7619","43,0037","100,0916","102,2202","457,2283","1.321,3715"
"PKF","ATA PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","7,1667","19,3892","45,5167","100,6066","100,9087","-","-"
"NJF","NUROL PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","5,7147","17,8047","43,5667","99,6745","100,2495","439,9361","-"
"OJK","QNB PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","5,8460","18,2076","44,1046","98,2097","98,2546","434,3980","-"
