"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"KIF","TRIVE PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","11,4576","12,0833","28,5208","8,0195","58,5330","183,9318","-"
"ZCN","ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","7,5001","10,5950","27,2612","4,2734","57,5575","223,3747","-"
"GZE","GARANTİ PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","9,9132","16,7014","29,7206","5,7674","56,2780","186,9845","-"
"OVD","QNB PORTFÖY EMTİA FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","8,5268","14,6017","24,2227","5,1854","47,8954","172,7491","-"
"DFD","DENİZ PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","6,5051","10,9717","19,5856","4,2767","44,3658","135,5943","-"
"GBZ","AZİMUT PORTFÖY EMTİA FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","7,2519","9,9035","19,0746","4,7804","44,3033","189,8839","-"
"YGM","YAPI KREDİ PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","7,0868","11,9670","22,0204","4,5891","44,0020","181,0079","-"
"TGE","İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","8,3480","15,4737","21,0959","4,7389","42,5825","151,7228","788,9501"
"ESP","AURA PORTFÖY EMTİA SERBEST FON","Serbest Şemsiye Fonu","-23,4278","-25,8820","-28,5643","-19,9233","-38,8186","-","-"
"MDF","FİBA PORTFÖY MODEL EMTİA FON SEPETİ SERBEST FON","Serbest Şemsiye Fonu","7,0326","10,5126","-","3,8650","-","-","-"
