"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"FMG","QNB PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","6,9004","69,4271","122,5357","15,0277","199,6898","-","-"
"GMC","TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,7330","71,7020","124,8479","13,4131","198,1728","682,2202","-"
"YZG","YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,8798","68,2693","124,0270","15,3509","196,9118","698,2978","1.426,6520"
"IOG","İŞ PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","4,5538","62,9222","117,0936","11,7162","192,4290","717,7284","1.494,0854"
"DMG","DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,9406","65,3392","119,2123","12,8445","192,3215","655,7148","-"
"GUM","AK PORTFÖY GÜMÜŞ FON SEPETI FONU","Fon Sepeti Şemsiye Fonu","6,3419","66,9261","120,9345","14,3450","192,2605","653,4499","1.366,2614"
"GTZ","GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","6,2387","66,5600","117,5644","13,2635","190,0806","658,2380","1.323,2200"
"MJG","AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,9517","63,5170","113,1307","10,9982","188,9321","678,0907","-"
"KGM","KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,9466","64,3716","116,0212","11,6991","188,1799","-","-"
"GMI","AK PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","6,8934","61,4419","-","15,5073","-","-","-"
"FPG","FİBA PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","5,3465","63,7446","114,2488","13,2276","-","-","-"
"GUK","GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON","Serbest Şemsiye Fonu","4,2666","60,8772","-","10,6242","-","-","-"
