"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"KGM","KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-16,5354","4,0080","63,8579","-1,5845","134,4128","-","-"
"MJG","AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-18,2091","1,9120","59,7933","-3,3245","133,6061","541,8248","-"
"GMC","TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-21,1923","0,7689","62,5648","-4,2604","132,3146","526,7409","-"
"DMG","DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-20,3941","0,0218","58,6906","-4,8044","126,6807","510,8495","-"
"YZG","YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-22,7992","-2,1277","58,1876","-4,9808","126,1523","516,3245","1.137,5623"
"IOG","İŞ PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","-21,5618","-2,4911","55,0227","-6,6321","126,0845","550,0093","1.191,7683"
"GUM","AK PORTFÖY GÜMÜŞ FON SEPETI FONU","Fon Sepeti Şemsiye Fonu","-21,1648","-0,2379","59,2865","-4,2288","125,3285","499,2663","1.108,2574"
"GTZ","GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-21,7091","-0,1946","56,8825","-5,5075","125,3189","502,7878","1.076,2361"
"FMG","QNB PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","-23,1457","-1,4091","56,9511","-5,3053","124,3905","-","-"
"GMI","AK PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","-24,8068","-6,2722","-","-7,8257","-","-","-"
"FPG","FİBA PORTFÖY GÜMÜŞ SERBEST FON","Serbest Şemsiye Fonu","-22,0196","-2,6558","54,0744","-6,0586","-","-","-"
"GUK","GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON","Serbest Şemsiye Fonu","-21,4124","-1,8774","-","-6,8949","-","-","-"
